Fiscal Year,Event ID,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),City,State,Zip Code,Internal Event Name,Previous Event ID
2014,23557,217000,334,1,4620.24,126181.14,65871.75,26,27,7,60309.39,128,31337,207,101934.14,1610,10579,5372,Orange Beach,AL,36561,"Alabama, Orange Beach- Bike MS: Tour de Beach 2014",20900
2017,29050,115000,212,1,2043,58515.09,42590,17,20,9,15925.09,122,24310,91,42950.09,5475,11561.69,8645,Madison,AL,35756,ALC 2017 Bike MS: Rocket City,27776
2014,21887,425000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ALC Bike MS 2014,0
2016,27775,215000,494,6,4428.8,204103.31,135283.42,33,35,11,68819.89,228,48608.75,272,171912.56,2763.77,11865,15823,Orange Beach,AL,36561,ALC 2016 Bike MS: Tour de Beach,25460
2017,27900,100000,108,5,1393.29,49140.8,25380,14,13,4,23760.8,46,13445,67,41950.8,1200,6330,6020,"Ridgeland, MS",MS,39157,ALC 2016 Bike MS: Mississippi 150,25461
2013,20900,200000,336,1,5792.15,145743.08,72353.42,28,30,7,73389.66,120,57551,217,130687.75,1935,41619.17,41475,Orange Beach,AL,36561,"Alabama, Orange Beach - Bike MS: Tour de Beach 2013",18544
2015,25459,105000,222,1,2817.5,91014.13,61459.98,16,18,10,29554.15,99,22105.08,124,75119.05,6453,6454.15,6210,Athens,AL,35611,ALC 2015 Bike MS: Ride to the Rocket,22490
2015,25926,120000,195,0,3782,107315.04,78626,22,22,6,28689.04,99,19150.5,96,92514.54,2990,10339.04,4170,North Little Rock,AR,72118,"TXH Arkansas, Little Rock - Bike MS 2015",23826
2014,23826,100000,188,0,3424,118164.18,87784.01,24,25,5,30380.17,95,48344.54,93,101460.45,2563.34,32530.81,31390.81,North Little Rock,AR,72118,"Arkansas, Little Rock - Bike MS 2014",21467
2013,21467,100000,142,4,2092,85973.9,62852.4,19,20,5,23121.5,73,17268,73,69421.9,977.4,50,711,North Little Rock,AR,72118,"Arkansas, Little Rock - Bike MS: Rock'n Hot Ride 2013",18953
2016,27919,150000,265,7,5053,125950.5,98088,25,27,9,27862.5,150,32033.5,122,103434,1266.28,9275,9440,North Little Rock,AR,72118,TXH 2016 Bike MS: Little Rock,25926
2014,22596,626000,573,5,20005,350346.71,253643.25,55,58,8,96703.46,322,50735.76,256,307539.66,6528.07,8054.81,7823.71,Cottonwood,AZ,86326,AZA FY2014 Bike MS,19752
2015,25729,200000,380,5,10960,229548.92,167813.75,33,36,7,61735.17,166,29544.97,219,204639.95,2628.15,2716.06,4441,Peoria,AZ,85382,AZA Bike MS 2015,22596
2016,27681,310000,417,5,12777.5,257612.24,187818.99,37,42,8,69793.25,211,39204.63,211,222454.61,8242.18,2339.25,3050,Fort McDowell,AZ,85264,AZA 2016 Bike MS: Arizona,25729
2014,21747,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,AZA Bike MS 2014 OLD,0
2017,28195,210000,285,7,8015,197481.41,140971.45,30,32,6,56509.96,162,27535.99,130,171521.42,3289.7,1823.03,1576,Fort McDowell,AZ,85264,AZA 2017 Bike MS: Fort McDowell,27681
2013,19752,557701,873,9,20475,432358.26,265842.21,56,61,10,166516.05,382,68007.41,500,365917.48,2400.01,62881.1,1416.63,Cottonwood,AZ,86326,AZA FY2013 Bike MS,17649
2013,18177,1100000,1233,168,13626.72,1065263.71,727246.1,132,143,6,338017.61,487,122228.17,914,956087.04,5880.24,47279.01,10836.5,Ventura,CA,,"CAL, Ventura - Bike MS: Coastal Challenge 2012",16936
2015,23843,1250000,1322,232,36325.4,1154586.96,841152.37,124,135,7,313434.59,597,141449.49,957,1104669.17,23835.54,197761.07,91068.7,Santa Monica,CA,90401,"California, Santa Monica - Bike MS: Coastal Challenge 2014",21167
2014,21167,1250000,1205,92,18654.73,1172975.52,735801.56,130,143,7,437173.96,472,132738.04,825,1059177.61,14136.5,72510.6,15567.13,Ventura,CA,93001,"CAL, Ventura - Bike MS: Coastal Challenge 2013",18177
2013,18743,250000,391,50,6257.96,190833.02,112393.84,48,50,5,78439.18,119,26643.02,322,166760,1180,54341.58,2550,Las Vegas,NV,,"CAL, Vegas - Bike MS: Vegas Challenge 2012",17042
2013,22276,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CAL - Bike MS 2013 Volunteer,0
2014,21748,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CAL Bike MS 2014 OLD,0
2016,27558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CAL 2016 Walk MS: Conejo,0
2013,22296,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"CAL, Ventura - Bike MS: Coastal Challenge Volunteer Template 2013",0
2015,26716,100000,151,3,2925,22527,18970,14,14,4,3557,49,9230,105,18437,2565,6922,5100,Las Vegas,NV,89103,CAL Bike MS: Las Vegas 2015,0
2013,22307,4000,1,6,0,0,0,1,1,1,0,0,0,7,0,0,0,0,Ventura,CA,93001,"CAL, Ventura - Bike MS: Coastal Challenge Volunteer 2013",0
2016,25958,1350000,1218,209,32699.48,1046937.14,769631.03,123,131,7,277306.11,588,217941.45,839,908401.69,30134.67,78667.56,75596,Santa Monica,CA,90401,CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,23843
2017,28217,1300000,884,11,16166,584757.07,473578.95,83,88,8,111178.12,392,166475.5,503,502095.56,10497,80901,82528.99,Pasadena,CA,91103,CAL 2017 Bike MS: Pasadena,25958
2016,27914,150000,279,5,4849.5,89641.18,58987.74,22,22,6,30653.44,125,57897.64,159,72068.54,185,43225,40100,Las Vegas,NV,89106,CAL 2016 Bike MS: Vegas,26716
2013,21166,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CA,,"CAL, Ventura - Bike MS: Coastal Challenge 2010",0
2015,25199,2764773,2301,269,84091.99,2104651.37,1655837.78,192,213,9,448813.59,1260,297775.97,1310,1911658.4,129750.15,33216,99073,San Francisco,CA,94158,CAN 2015 Bike MS: Waves to Wine Ride,22900
2016,27080,2400000,1936,150,66726.68,1856329.04,1443329.26,181,192,8,412999.78,1161,265647.1,925,1788366.19,126791,119311.73,186796.25,San Francisco,CA,94158,CAN 2016 Bike MS: Waves to Wine Ride,25199
2013,20747,2350000,2475,181,89499.5,2285808.47,1651066.64,191,209,9,634741.83,1324,273332.22,1332,2059700.26,154271.89,93978.17,14059.01,San Francisco,CA,,"California, Bike MS: Waves to Wine Ride 2013",17854
2017,28894,2522872,1498,128,69409.5,1578385.09,1250756.25,158,176,8,327628.84,1025,295547.97,601,1466861.12,81141.55,73477.19,154848,Sonoma Wine Country,CA,94928,CAN 2017 Bike MS: Waves to Wine Ride,27080
2014,22900,2620000,2427,200,90415.9,2380212.06,1870807.31,198,216,10,509404.75,1454,305580.84,1173,2387138.82,159186.18,251320.3,307861.6,San Francisco,CA,,CAN 2014 Bike MS: Waves to Wine Ride,20747
2014,21749,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CAN Bike MS 2014 OLD,0
2013,19434,0,534,0,0,2090,1040,3,3,2,1050,10,580,524,2010,0,0,500,,,,CAS Bike MS 2012 - Volunteers,0
2014,21507,2200000,1889,8,67653.9,2045914.48,1510651.41,176,201,9,535263.07,1024,228727.54,873,1979510.94,24831.28,4127,53026,San Diego,CA,92008,CAS Bike MS 2013 - San Diego,18684
2014,21750,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CAS Bike MS 2014 OLD,0
2017,27937,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Irvine to San Diego,CA,92618,CAS 2016 Hawaii Bike MS,0
2016,26037,2500000,2432,3,46094,2214987.23,1589700.94,162,189,10,625286.29,973,319722.74,1462,2053122.72,29804.29,48087.21,72870.84,San Diego,CA,92618,CAS Bike MS 2015,23956
2015,23956,2200000,2757,2,51942,2188029.63,1594707.79,172,204,10,593321.84,1000,313187.01,1759,2024373.89,17644.58,31335.1,73107.72,San Diego,CA,92008,CAS Bike MS 2014,21507
2017,27876,2500000,2570,1,48150,2317728.23,1687801.68,180,213,9,629926.55,1159,425575.49,1412,2093298.29,13515.11,132442.99,193415.55,Irvine to San Diego,CA,92618,CAS 2016 Bike MS: Bay to Bay,26037
2013,18684,2200000,2132,5,76276,1990902.73,1431549.06,180,223,10,559353.67,1134,237585.02,1003,1898461.49,0,1754,78224.53,,,,CAS Bike MS 2012,17111
2017,27936,85000,77,2,875,30272.08,27067,9,8,7,3205.08,35,7570,44,24337.08,250,1500,1635,Waikoloa,HI,96738,CAS 2016 Bike MS Hawaii,26038
2014,22117,0,407,0,0,720,445,3,3,5,275,6,395,401,325,0,0,0,,,,CAS Bike MS 2013 - Volunteers,19434
2015,27182,4000000,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,1100,0,Westminster,CO,80031,2016 General Bike Donations TEMP,0
2014,23814,25000,393,7,0,1721,1721,2,2,1,0,16,761,384,960,0,0,0,,,,"Colorado - Bike MS 2014 Volunteer, Colorado Two Day",21496
2016,27756,250000,359,2,9920.75,220307.73,105369.29,32,33,6,114938.44,137,32549.51,224,188533.22,75,240,495,Sheridan,WY,82801,COC 2016 Bike MS: Wyoming,25573
2014,22766,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,AJ Test Bike MS 2014,0
2016,27036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,COC 2016 Bike MS: Colorado DO NOT USE,0
2014,24003,1000,61,2,0,634,634,0,0,0,0,1,11,62,623,0,0,0,,,,Wyoming - Bike MS 2014 Volunteer,21498
2017,28956,245000,339,1,8513,225813.02,113206.13,32,32,5,112606.89,141,36332.06,199,200408.02,405,5631,1845,Sheridan,WY,82801,COC 2017 Bike MS: Wyoming,27756
2013,21498,1000,97,2,0,70,70,1,1,1,0,2,70,97,0,0,0,0,,,,Wyoming - Bike MS 2013 Volunteer,0
2015,24949,10000,3,0,0,0,0,1,1,3,0,0,0,3,0,0,0,0,,,,AJ Test Bike MS 2015,0
2015,25572,4000000,2997,22,157578.49,3363059.1,2322902.95,226,246,11,1040156.15,1639,489445.04,1380,2930023.47,29312.58,36156.66,46804.41,Westminster,CO,80031,COC 2015 Bike MS: Colorado,22980
2017,28914,3600000,2656,36,120550.7,3126199.44,2331294.56,212,228,10,794904.88,1741,447658.54,951,2734035.75,35913,35444.29,46482.6,Westminster,CO,80031,COC 2017 Bike MS Colorado,27037
2014,21751,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,COC Bike MS 2014 OLD,0
2014,23815,1000,81,15,0,395,395,0,0,0,0,2,155,94,240,0,0,0,,,,"Colorado - Bike MS 2014 Volunteer, Fort Collins Loop",21497
2014,22980,3925000,3299,44,155134.93,3657569.52,2472568.98,228,247,12,1185000.54,1810,509837.25,1533,3219345.67,16832.08,11611.89,38027.5,Westminster,CO,80031,Colorado - Bike MS 2014,20901
2014,25193,3895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Westminster,CO,80031,COC - Bike MS 2015 For Pre Reg Donations,0
2013,20901,3650000,3050,41,155346.5,3343816.71,2273506.88,206,223,12,1070309.83,1688,437387.06,1403,2958428.02,6789,7915,43266.37,Westminster,CO,80031,Colorado - Bike MS 2013,17994
2015,25936,25000,363,9,0,1610,1610,0,0,0,0,12,710,360,901,0,0,1,,,,COC 2015 Bike MS: Colorado Volunteer,23814
2015,25937,25000,33,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,,,,COC 2015 Bike MS: Wyoming Volunteer,24003
2013,21496,4000,397,2,0,1269,1219,0,0,0,50,17,946,382,323,0,0,0,,,,"Colorado - Bike MS 2013 Volunteer, Colorado Two Day",18824
2013,21497,1000,53,6,0,765,715,0,0,0,50,2,135,57,830,0,200,200,,,,"Colorado - Bike MS 2013 Volunteer, Fort Collins Loop",18838
2014,22981,300000,207,3,7324.5,247551.16,74459.17,19,21,7,173091.99,91,19065.99,119,232225.17,1075,255,2365,Sundance,WY,82729,Wyoming - Bike MS 2014,20902
2013,20902,300000,280,7,10006,210118.03,91861.4,28,29,7,118256.63,117,32198.75,170,179839.28,473,745,1920,Sundance,WY,82729,Wyoming - Bike MS 2013,18654
2013,23061,3650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CO,,COC - Bike MS 2014 For Pre Reg Donations,0
2015,25573,260000,189,1,7591.75,187878.69,73973.58,22,22,5,113905.11,84,27440.89,106,163067.8,1196,5543.55,1730,Sundance,WY,82729,COC 2015 Bike MS: Wyoming,22981
2016,27037,4000000,3157,20,131832.77,3337179.5,2439139.43,201,217,12,898040.07,1794,542714.02,1383,2850087.68,24698.43,13170.82,22059,Westminster,CO,80031,COC 2016 Bike MS: Colorado,25572
2017,28916,154000,144,0,4661.5,83430,68002,16,15,5,15428,72,13325,72,70250,2035,205,145,Stamford,CT,6902,CTN 2017 Bike MS: Stamford,27507
2014,23432,250000,472,0,8905,178870.45,124886,32,35,10,53984.45,287,47708.35,185,131747.1,8230,801.5,560,Windsor,CT,6095,"Connecticut, Windsor - Bike MS 2014",21046
2015,25949,215639,387,2,10230,196839.52,139507.3,39,41,6,57332.22,207,46758.51,182,150231.01,14343.52,1274.25,150,Windsor,CT,6095,"Connecticut, Windsor - Bike MS Praxair Ride 2015",23432
2016,27498,218587,413,7,14115,210807.1,159642.1,38,38,7,51165,171,72241,249,141586.1,5509.24,1105.56,2875,Windsor,CT,6095,CTN 2016 Bike MS: Windsor,25949
2017,28918,234500,358,0,12716.5,165903.77,129961.86,39,41,6,35941.91,143,35779.5,215,132312.77,4841,296,2063.5, Windsor ,CT,6095,CTN 2017 Bike MS: Windsor,27498
2013,21726,110000,260,0,7590,79423.3,33548,17,19,10,45875.3,119,24056,141,60173.3,1540,25,4806,Hartford,CT,6120,"Connecticut, Hartford - Bike MS 2013",19015
2016,27507,175000,217,3,6325,147371.25,99573,20,20,7,47798.25,102,19550,118,129343.25,6885,1552.5,1225,Norwalk,CT,6880,CTN 2016 Bike MS: Norwalk,25948
2015,25948,201746,255,4,7680,145749.19,109392.55,21,21,8,36356.64,176,20988.55,83,124760.64,7650,1050,0,Westport,CT,6880,"Connecticut, Westport - Bike MS Praxair Ride 2015",23495
2014,24022,120000,267,0,7660,72294.88,44050.33,22,22,8,28244.55,125,18865.05,142,84818.83,7405,6114,20099,Hartford,CT,6120,"Connecticut, Hartford - Bike MS: Cardio Express Ride 2014",21726
2014,21752,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CTN Bike MS 2014 OLD,0
2013,20347,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CT,,CTN Bike MS 2013,0
2014,21893,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CTN Bike MS 2014,0
2014,23830,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,CTN - 2014 MS Great 8 - Beach to Beach Tour,21412
2013,21412,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,CTN - 2013 MS Great 8 Tour Du Lac,0
2014,23495,285000,274,0,4960,205321.2,124002,23,24,8,81319.2,160,56929.5,114,148886.7,22193.2,179.5,495,Westport,CT,6880,"Connecticut, Westport - Bike MS 2014",21047
2013,21046,252482,548,0,9450,229765.45,156460.52,38,41,10,73304.93,292,74480,256,155365.45,10547.88,10,80,Windsor,CT,6095,"Connecticut, Windsor - Bike MS 2013",18594
2013,21047,241189,358,0,6510,264195.37,161816.8,28,29,9,102378.57,196,57342,162,222162.37,41602,65,15309,Westport,CT,6880,"Connecticut, Westport - Bike MS 2013",18602
2013,19164,1000000,924,2,24515,677556.52,571909.51,77,81,7,105647.01,397,101970.02,529,578314,5798,391,50,Washington,DC,20036,DCW 2013 Bike MS,17483
2014,21886,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,DCW Bike MS 2014 OLD,0
2014,22016,897500,692,0,13510,562588.87,479713.04,85,90,5,82875.83,350,84208.45,342,481700.42,5330.25,2837.83,2315,Ft. Washington,MD,20745,DCW 2014 Bike MS: Ride the Riverside,19164
2015,25835,615000,590,16,13800,524915.1,452977.42,65,69,7,71937.68,331,90182.07,275,441893.03,15449,6810,6945,Purcellville,VA,20132,DCW 2015 Bike MS: Ride the Vine,22016
2014,21754,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,DED Bike MS 2014 OLD,0
2013,20349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DE,,DED Bike MS 2013,0
2014,23771,1000000,1139,7,36010,667110.31,416155.57,121,125,7,250954.74,604,112982.9,542,561182.41,15849.38,2755,6305,Dover,DE,19904,DED Bike MS: Bike to the Bay 2014,0
2013,21206,20000,253,0,11730,7424,5332,17,18,6,2092,33,2375,220,5199,295,297,150,Bear,DE,19701,DED Bike MS: Crankin for a Cure 2013,18090
2013,20707,1000000,1353,19,42090,749050.29,467402.39,130,136,8,281647.9,630,121917.49,742,632317.08,14557.5,3477.54,4434.28,Dover,DE,19904,DED Bike MS: Bike to the Bay 2013,17924
2015,25198,1000000,1370,27,57245,750578.16,534015.58,149,156,6,216562.58,657,140256.57,740,615623.59,19968.85,348,5027,Dover,DE,19904,DED Bike MS: Bike to the Bay 2015,23771
2014,23770,30000,223,0,10460,5842,4521,14,15,5,1321,25,1045,198,4797,130,421,0,Bear,DE,19701,DED Bike MS: Crankin for a Cure 2014,0
2014,21895,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,DED Bike MS 2014,0
2014,23784,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Delaware, Dover-Bike MS 2014",0
2013,20669,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Nicole Bike Test,0
2013,21413,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,DED - 2013 MS Great 8 Tour Du Lac,0
2014,23831,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,DED - 2014 MS Great 8 - Beach to Beach Tour,21413
2017,28207,600000,942,20,25309,555670.42,428340.16,73,72,10,127330.26,441,95431.68,521,487060,21795.21,19240,24876.26,Polk City,FL,33868,FLC 2017 Bike MS: Mid Florida,27190
2013,19463,915000,936,162,31566.25,732241.31,499511.94,80,101,8,232729.37,443,118620.29,655,619538.14,22228.14,8961.2,4308,Lake Wales,FL,33859,FLC 2013 Bike MS,17564
2014,21896,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Wales,FL,33859,FLC Bike MS 2014,20350
2013,20350,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FL,,FLC Bike MS 2013,0
2016,27190,850000,1057,10,21442.5,519259.87,369991.65,91,97,9,149268.22,427,81221.85,640,448856.77,11386,13295.01,9345.75,Orlando,FL,33868,FLC 2016 Bike MS: The Citrus Tour,24778
2015,24778,850000,1099,125,36937.5,677159.38,466633.8,100,110,8,210525.58,502,108067.89,722,581901.49,29806.5,14502.52,11875,Orlando,FL,32821,FLC Bike MS 2015,22186
2014,22186,805000,1031,128,34015,768752.88,518596.47,97,109,8,250156.41,537,109441.67,622,663441.21,27483.62,27156.25,3030,Lake Wales,FL,33859,"Florida, Orlando- Bike MS 2014",19463
2014,21755,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FLC Bike MS 2014 OLD,0
2013,20286,1550000,1555,201,36933.97,858371.23,524999.02,98,107,12,333372.21,779,163421.93,977,705452.38,8802.4,6356.6,7498.08,St. Augustine ,FL,32084,"Florida, St. Augustine - Bike MS: PGA TOUR Cycle to the Shore 2013",17954
2017,28136,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ponte Vedra Beach ,FL,32082,FLN 2016 Bike MS: PGA TOUR Cycle to the Shore SC 6.22.16,0
2014,21756,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FLN Bike MS 2014 OLD,0
2017,27711,1500000,1182,165,40167,893641.38,554667.65,103,106,9,338973.73,730,178454.04,617,741722.48,19338.91,14235.29,22761,Ponte Vedra Beach ,FL,32082,FLN 2016 Bike MS: PGA TOUR Cycle to the Shore,25681
2014,22906,1500000,1455,187,62200.5,948626.55,607908.54,100,107,12,340718.01,827,155300.59,815,805895.96,7067.4,3165.5,10410,St. Augustine,FL,32084,"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",20286
2016,25681,1500000,1394,204,52375,988568.46,602755.09,110,116,10,385813.37,794,283530.13,804,828416.13,21604.28,110902,119051.8,Ponte Vedra Beach ,FL,32082,FLN 2015 Bike MS: PGA TOUR Cycle to the Shore,22906
2014,21897,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FLN Bike MS 2014,0
2013,20351,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FL,,FLN Bike MS 2013,0
2014,22411,1100000,1438,13,23760,794505.67,595945.53,96,109,11,198560.14,638,117446.53,813,731486.76,29410,4589.09,0,Miami,FL,33199,FLS 2014 Bike MS: Breakaway to Key Largo,19654
2016,26536,1050000,1566,23,24740,1008550.36,697676.98,119,137,10,310873.38,587,170237.3,1002,870113.36,16954.82,19430.16,20874,Miami,FL,33199,FLS 2016 Bike MS: Breakaway to Key Largo,24696
2017,28099,1100000,1198,17,25235,928361.49,713625.38,88,102,11,214736.11,606,155647.06,609,808413.93,8211,21385,33122,Miami,FL,33199,FLS 2017 Bike MS: Breakaway to Key Largo,26536
2015,24696,930000,1554,24,31210,960371.55,686978.93,119,142,10,273392.62,676,151983.14,902,830744.76,24129.06,18564,16871,Miami,FL,33199,FLS 2015 Bike MS: Breakaway to Key Largo,22411
2013,20352,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FL,,FLS Bike MS 2013,0
2014,21898,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami,FL,33199,FLS Bike MS 2014,0
2014,21757,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FLS Bike MS 2014 OLD,0
2013,19654,2000000,1339,33,19620,794119.07,506056.67,92,98,12,288062.4,559,114681.32,813,679437.75,27907.67,16044,0,Miami,FL,33174,FLS 2013 Bike MS: Breakaway to Key Largo,17642
2013,19774,0,461,2,0,1275,945,15,16,8,330,1,100,462,1175,0,0,0,Miami,FL,33146,FLS Bike Volunteer 2013,17663
2014,21758,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,GAA Bike MS 2014 OLD,0
2014,23662,1000000,1065,25,15618.26,763883.68,537748.15,60,71,15,226135.53,473,120105.22,617,647287,14832.75,52438.5,2655,Pine Mountain,GA,31822,GAA- Bike MS 2014,20576
2015,24767,1000000,795,15,12033.1,556578.6,414450.9,58,69,11,142127.7,320,133650.37,490,479752.23,7302.7,54099,54094,Pine Mountain,GA,31822,GAA Bike MS 2015,23662
2017,27759,550000,522,4,12625.5,456663.73,351213.22,47,54,10,105450.51,342,142609.5,184,377580.23,13881,65643.83,63526,Newnan,GA,30263,GAA Bike MS 2016,24767
2013,20576,1107000,1385,24,24802.5,791428.59,552192.74,66,73,18,239235.85,633,129339.97,776,668852.74,14663.71,60260.5,5774.12,Pine Mountain,GA,31822,"Atlanta, Georgia - Bike MS 2013",18479
2014,21759,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,HIH Bike MS 2014 OLD,0
2014,21900,52500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,HI,,HIH Bike MS 2014,0
2015,26038,75000,95,4,625,53519.31,46769.01,9,11,7,6750.3,44,9136.3,55,44923.01,1705,253,540,Waikoloa,HI,96738,CAS Bike MS 2015 - Hawaii,23962
2013,21136,65000,138,0,1320,52632.04,39041.05,14,14,6,13590.99,50,12188,88,45106.04,1595,1577,4662,Waikoloa,HI,96817,2013 Bike MS Hawaii,18934
2014,23962,60000,102,0,1000,63236.17,49306.17,12,14,7,13930,40,8151.73,62,56045.44,1375,3551,70,,HI,,HIH Bike MS - 2014,0
