CaptainAcceptEmail,PriorYearParticipation,GenderMale,GenderFemale,GenderNotSpecified,RegOnline,RegOffline,PriorParticipant,NotPriorParticipant,ConnectionMS,NoConnectionMS,RegActive,RegInActive,DonorGenderMale,DonorGenderFemale,DonorGenderNotSpecified,RegisteredDonors,NonRegisteredDonors,DonorConnectionMS,DonorNoConnectionMS,DonorPriorParticipant,DonorNotPriorParticipant,GiftAmount
TRUE,0,18,5,0,23,0,13,10,11,12,23,0,119,72,36,22,205,37,190,136,91,25440
TRUE,0,11,5,0,16,0,9,7,9,7,15,1,31,29,5,16,49,22,43,44,20,5828
TRUE,0,53,19,0,72,0,36,36,38,34,62,10,407,382,57,67,779,181,665,411,396,112883
TRUE,0,5,3,0,8,0,4,4,4,4,7,1,31,37,2,8,62,13,57,35,32,5515
FALSE,0,3,0,0,3,0,0,3,1,2,3,0,22,8,2,3,29,5,27,0,32,1655
FALSE,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
TRUE,0,9,3,0,12,0,0,12,3,9,12,0,26,22,12,12,48,6,54,0,60,11078
TRUE,0,14,1,0,15,0,1,14,7,8,11,4,35,32,6,2,71,16,57,23,50,12160
TRUE,1,9,0,0,9,0,5,4,6,3,9,0,39,4,1,9,35,20,24,34,10,5175
TRUE,0,5,0,0,5,0,1,4,1,4,5,0,18,16,2,5,31,8,28,12,23,1950
FALSE,0,9,2,0,11,0,3,8,8,3,9,2,63,20,6,6,83,23,66,74,15,8428
FALSE,0,4,3,0,7,0,0,7,0,7,7,0,8,18,0,7,19,0,26,0,26,2800
TRUE,0,8,11,0,19,0,3,16,14,5,19,0,134,119,26,19,260,55,224,72,207,27432
FALSE,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
TRUE,0,54,17,0,71,0,34,37,37,34,68,3,392,221,75,70,618,164,524,331,356,49682
TRUE,0,2,4,0,6,0,1,5,4,2,6,0,4,23,0,1,26,17,10,2,25,3466
TRUE,0,47,27,0,74,0,29,45,37,37,74,0,403,396,175,74,900,190,784,527,447,139744
FALSE,1,19,5,0,24,0,14,10,14,10,24,0,92,59,27,23,155,35,143,90,87,21656
TRUE,0,25,11,1,37,0,14,23,19,18,36,1,179,137,21,35,302,64,273,120,217,41690
TRUE,0,1,1,0,2,0,0,2,0,2,2,0,15,3,2,2,18,2,18,0,20,1375
TRUE,0,8,3,0,11,0,0,11,2,9,11,0,60,38,2,11,89,7,93,0,100,6061
TRUE,0,22,9,0,31,0,16,15,14,17,29,2,221,178,41,31,409,102,338,259,175,41771
TRUE,0,1,1,0,2,0,0,2,0,2,2,0,14,9,2,2,23,4,21,0,24,878
FALSE,0,25,10,0,35,0,11,24,11,24,32,3,122,149,21,34,258,44,248,83,209,23831
FALSE,0,7,3,0,10,0,9,1,4,6,10,0,13,9,0,10,12,7,15,20,2,5275
FALSE,0,3,2,0,5,0,0,5,1,4,5,0,23,19,1,5,38,6,37,0,42,2805
TRUE,0,14,12,0,26,0,19,7,13,13,26,0,71,66,6,26,117,37,106,105,38,10309
FALSE,1,3,1,0,4,0,1,3,1,3,4,0,6,3,0,4,5,1,8,1,8,1200
TRUE,0,4,2,0,6,0,0,6,4,2,6,0,31,26,5,6,56,14,48,0,56,5030
TRUE,0,14,13,0,27,0,3,24,12,15,27,0,105,132,8,27,218,52,193,18,226,16265
TRUE,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRUE,0,2,1,0,2,1,0,3,1,2,3,0,10,5,1,1,15,2,14,0,15,1290
TRUE,0,39,11,0,50,0,26,24,22,28,49,1,191,129,46,50,316,66,300,205,161,30757
FALSE,1,4,2,0,6,0,5,1,2,4,6,0,7,2,0,6,3,2,7,7,2,1600
TRUE,1,13,11,0,24,0,16,8,16,8,24,0,126,136,16,24,254,80,198,214,64,47085
TRUE,1,8,1,0,9,0,4,5,4,5,9,0,78,59,24,9,152,34,127,131,30,54725
FALSE,1,19,5,0,24,0,8,16,8,16,24,0,83,65,36,7,177,41,143,70,108,17309
TRUE,0,31,7,0,38,0,21,17,12,26,33,5,191,107,33,37,294,78,253,176,155,23453
FALSE,1,13,5,0,18,0,10,8,8,10,18,0,48,36,23,18,89,17,90,62,45,16044
TRUE,0,4,0,0,4,0,0,4,1,3,4,0,16,4,5,4,21,3,22,0,25,1805
TRUE,1,49,17,0,66,0,32,34,26,40,66,0,438,340,57,66,769,152,683,452,383,66348
TRUE,0,3,1,0,4,0,0,4,2,2,4,0,20,17,3,4,36,8,32,0,40,1506
TRUE,1,17,3,0,20,0,14,6,13,7,20,0,91,57,19,20,147,32,135,126,40,15563
FALSE,0,1,1,0,2,0,0,2,2,0,2,0,11,10,6,2,25,4,23,0,27,1965
TRUE,0,265,128,1,393,1,200,194,243,151,385,9,2006,1752,354,392,3720,1007,3105,2292,1811,369553
TRUE,0,19,6,0,25,0,5,20,12,13,25,0,88,56,16,25,135,30,130,41,119,15331
FALSE,0,3,0,0,3,0,0,3,2,1,2,1,2,0,0,2,0,1,1,0,2,0
FALSE,0,1,1,0,2,0,1,1,1,1,2,0,10,1,0,1,10,4,7,0,11,610
TRUE,0,16,4,0,20,0,5,15,6,14,19,1,107,86,24,20,197,26,191,64,153,16753
TRUE,0,129,37,1,166,1,88,79,86,81,164,3,1117,654,170,166,1775,440,1501,1069,872,178668
FALSE,0,5,3,0,8,0,1,7,6,2,8,0,59,35,5,8,91,25,74,13,86,7250
TRUE,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
FALSE,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
TRUE,0,6,2,0,8,0,5,3,4,4,8,0,47,22,4,8,65,13,60,36,37,5480
TRUE,0,2,3,0,5,0,0,5,3,2,4,1,21,35,5,5,56,13,48,0,60,4031
FALSE,0,5,1,0,6,0,1,5,3,3,6,0,49,23,6,6,72,8,70,16,62,3915
TRUE,0,3,3,0,6,0,0,6,2,4,3,3,3,5,1,4,5,2,7,0,6,275
TRUE,0,3,1,0,4,0,0,4,1,3,4,0,3,3,0,4,2,1,5,0,6,800
FALSE,0,11,3,0,14,0,10,4,6,8,14,0,45,27,5,14,63,15,62,44,33,11975
TRUE,0,58,21,0,79,0,41,38,24,55,78,1,388,230,20,79,559,113,525,354,274,58819
TRUE,0,7,3,0,10,0,6,4,7,3,10,0,39,37,6,10,72,24,58,54,28,5026
TRUE,0,1,0,0,1,0,1,0,1,0,1,0,9,2,1,1,11,6,6,11,0,700
TRUE,0,14,9,0,22,1,7,16,6,17,21,2,39,61,3,23,80,33,70,28,74,9529
TRUE,1,35,16,0,48,3,29,22,30,21,48,3,375,423,122,48,872,192,728,639,281,152450
TRUE,0,12,1,0,13,0,3,10,9,4,13,0,44,42,7,4,89,24,69,29,64,9265
TRUE,0,2,0,0,2,0,1,1,0,2,2,0,4,4,2,2,8,0,10,2,8,800
TRUE,0,32,9,1,42,0,21,21,26,16,42,0,352,274,44,42,628,135,535,383,287,53646
TRUE,0,8,5,0,12,1,8,5,9,4,13,0,44,63,3,2,108,21,89,55,55,10045
TRUE,1,19,10,0,29,0,5,24,8,21,28,1,129,74,7,7,203,38,172,45,150,20119
TRUE,0,22,4,1,27,0,12,15,14,13,26,1,191,120,34,27,318,65,280,190,147,29160
TRUE,1,17,1,0,18,0,3,15,10,8,16,2,299,133,20,17,435,104,348,147,305,36381
TRUE,0,10,4,0,14,0,1,13,10,4,14,0,58,36,11,14,91,29,76,15,90,8124
TRUE,1,419,147,3,566,3,283,286,295,274,558,11,4173,2944,1465,538,8044,1794,6788,5454,3127,1037675
TRUE,0,8,2,0,10,0,7,3,3,7,10,0,15,11,1,10,17,7,20,21,6,4350
TRUE,0,167,59,1,227,0,129,98,117,110,210,17,1383,956,279,31,2587,567,2051,1714,903,451364
TRUE,0,65,14,1,79,1,45,35,39,41,79,1,575,343,112,79,951,188,842,607,418,96745
TRUE,0,2,2,0,4,0,1,3,2,2,3,1,4,5,0,3,6,3,6,2,6,685
FALSE,0,5,4,0,9,0,3,6,3,6,9,0,28,20,1,9,40,7,42,15,34,4370
TRUE,0,12,4,0,16,0,6,10,6,10,15,1,72,52,35,16,143,26,133,69,89,21790
TRUE,1,10,1,0,11,0,6,5,7,4,10,1,43,52,4,9,90,27,72,53,46,6113
FALSE,0,95,40,0,135,0,78,57,72,63,128,7,658,525,106,135,1154,299,990,773,514,121072
TRUE,1,40,16,0,55,1,36,20,29,27,52,4,293,215,55,55,508,165,398,423,140,58069
TRUE,0,5,2,0,7,0,0,7,4,3,6,1,7,4,0,7,4,5,6,0,11,1300
TRUE,0,19,3,0,22,0,4,18,7,15,22,0,111,67,6,22,162,25,159,38,146,16243
TRUE,0,12,3,0,15,0,6,9,6,9,12,3,53,49,10,15,97,21,91,58,54,8107
TRUE,0,21,11,0,32,0,11,21,20,12,31,1,111,103,19,32,201,51,182,96,135,16465
TRUE,0,13,4,0,17,0,13,4,14,3,15,2,107,71,26,15,189,41,163,138,65,15812
TRUE,0,5,4,0,9,0,5,4,7,2,9,0,51,47,2,9,91,33,67,71,27,9032
TRUE,0,11,7,0,18,0,14,4,12,6,17,1,71,85,6,5,157,29,133,127,33,19280
FALSE,0,16,2,0,18,0,0,18,1,17,18,0,15,0,0,14,1,0,15,0,15,50
TRUE,0,53,19,0,71,1,39,33,31,41,68,4,399,218,64,70,611,154,527,323,355,48924
TRUE,0,80,13,0,92,1,46,47,59,34,92,1,697,499,158,92,1262,372,982,894,460,183009
FALSE,1,16,8,0,24,0,22,2,19,5,24,0,213,225,36,24,450,90,384,444,29,78708
TRUE,0,53,12,0,65,0,40,25,43,22,65,0,583,361,97,63,978,233,808,763,275,157001
TRUE,0,1,0,0,1,0,0,1,0,1,1,0,4,1,0,1,4,1,4,0,5,399
TRUE,0,30,5,0,35,0,20,15,18,17,34,1,194,122,17,34,299,74,259,209,115,64841
TRUE,0,14,9,0,23,0,12,11,12,11,23,0,94,91,16,22,179,27,174,77,112,19345
TRUE,0,2,0,0,2,0,2,0,2,0,2,0,19,4,1,2,22,11,13,22,0,980
TRUE,0,87,23,0,110,0,60,50,52,58,104,6,778,459,100,110,1227,305,1032,786,551,197292
TRUE,0,82,23,1,106,0,48,58,65,41,102,4,533,436,205,100,1074,236,938,621,527,114814
TRUE,1,11,2,0,13,0,9,4,10,3,13,0,37,16,2,13,42,25,30,34,21,6360
TRUE,0,17,3,0,20,0,16,4,10,10,20,0,117,73,38,20,208,60,168,216,11,17540
FALSE,0,24,6,0,30,0,6,24,9,21,30,0,170,97,21,30,258,32,256,73,215,16849
TRUE,0,12,0,0,12,0,4,8,8,4,12,0,42,15,5,12,50,18,44,26,36,11492
TRUE,0,25,12,0,37,0,20,17,23,14,35,2,312,217,50,37,542,152,427,379,200,50847
TRUE,1,54,16,1,71,0,35,36,37,34,70,1,299,298,64,26,635,193,468,385,266,67070
TRUE,0,42,18,0,60,0,32,28,36,24,60,0,556,405,98,58,1001,249,810,580,475,171962
TRUE,0,9,5,0,14,0,11,3,10,4,14,0,47,48,3,14,84,32,66,84,12,6280
TRUE,1,3,2,0,5,0,4,1,4,1,5,0,36,45,9,5,85,24,66,81,9,8475
TRUE,0,3,0,0,3,0,3,0,1,2,3,0,6,1,1,3,5,2,6,8,0,1000
TRUE,0,8,2,0,10,0,8,2,7,3,10,0,30,20,0,10,40,18,32,39,10,6760
TRUE,0,94,27,0,119,2,48,73,60,61,117,4,630,501,91,120,1102,254,968,498,724,93215
TRUE,0,20,6,0,26,0,20,6,15,11,22,4,157,85,23,25,240,53,212,223,42,36669
TRUE,1,16,10,0,26,0,12,14,7,19,26,0,130,88,37,25,230,23,232,131,111,44597
TRUE,0,2,2,0,4,0,3,1,3,1,4,0,7,3,1,4,7,3,8,9,2,1825
TRUE,0,13,3,0,16,0,11,5,14,2,16,0,90,75,8,16,157,56,117,155,18,14364
TRUE,0,47,21,0,66,2,32,36,34,34,68,0,565,345,170,52,1028,168,912,514,559,306541
TRUE,1,53,17,0,70,0,38,32,35,35,70,0,467,333,137,70,867,195,742,524,407,160984
FALSE,0,4,3,0,7,0,2,5,2,5,5,2,21,11,2,6,28,3,31,19,13,2545
TRUE,1,85,34,0,119,0,52,67,56,63,118,1,881,772,124,119,1658,356,1421,942,835,171956
TRUE,0,4,0,0,4,0,3,1,3,1,4,0,30,8,27,4,61,15,50,49,16,4988
TRUE,0,9,6,0,15,0,5,10,13,2,14,1,36,26,4,14,52,42,24,32,34,9295
TRUE,0,36,17,0,53,0,26,27,32,21,53,0,346,235,77,53,605,125,533,345,313,208878
TRUE,0,8,3,0,11,0,5,6,6,5,11,0,73,46,6,11,114,24,101,59,66,8470
TRUE,0,61,42,0,103,0,44,59,50,53,101,2,493,544,91,102,1026,227,901,551,576,123601
FALSE,0,6,3,0,9,0,4,5,6,3,9,0,48,53,8,9,100,20,89,57,51,9585
TRUE,0,5,3,0,8,0,2,6,2,6,8,0,47,74,11,8,124,15,117,52,79,7144
FALSE,0,39,33,0,70,2,26,46,45,27,68,4,291,332,38,71,590,196,465,285,374,57753
TRUE,0,1,0,0,1,0,1,0,1,0,1,0,28,9,4,1,40,10,31,41,0,4625
TRUE,0,7,5,0,12,0,1,11,7,5,11,1,45,37,2,11,73,21,63,2,81,4590
FALSE,0,27,11,0,38,0,17,21,15,23,38,0,40,51,37,37,91,42,86,69,59,16741
FALSE,0,1,0,0,1,0,0,1,1,0,1,0,1,4,0,1,4,1,4,0,3,605
TRUE,0,11,0,0,11,0,0,11,5,6,11,0,23,5,15,11,32,5,38,0,43,2412
TRUE,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
TRUE,0,5,0,0,5,0,3,2,2,3,5,0,20,5,9,5,29,6,28,14,20,2225
TRUE,0,37,9,0,46,0,22,24,23,23,44,2,2345,1570,466,2,4379,563,3818,2326,2051,92721
TRUE,0,7,2,0,9,0,5,4,6,3,9,0,50,29,6,9,76,19,66,29,55,6720
TRUE,0,33,9,1,43,0,16,27,15,28,40,3,185,117,51,41,312,70,283,202,151,45006
TRUE,0,20,2,0,22,0,10,12,9,13,20,2,68,39,7,21,93,33,81,53,57,16770
TRUE,0,192,79,2,272,1,130,143,164,109,266,7,1329,943,483,271,2484,621,2134,1363,1365,257005
TRUE,0,2,1,0,3,0,0,3,0,3,2,1,2,1,0,3,0,0,3,0,3,6000
FALSE,0,8,3,0,11,0,6,5,5,6,11,0,41,26,1,10,58,10,58,37,31,5275
TRUE,1,50,12,0,62,0,25,37,26,36,54,8,301,242,128,61,610,135,536,345,323,75080
TRUE,0,19,20,1,40,0,5,35,13,27,39,1,169,225,28,18,404,78,344,68,352,29129
TRUE,0,3,2,0,5,0,5,0,3,2,5,0,13,24,1,5,33,10,28,38,0,4320
TRUE,0,36,14,1,51,0,15,36,27,24,51,0,185,219,28,47,385,86,346,153,279,34169
TRUE,0,136,73,1,209,1,93,117,104,106,210,0,1143,1191,255,207,2382,530,2059,1311,1278,220419
TRUE,0,28,6,0,32,2,24,10,17,17,25,9,584,271,74,32,897,160,769,810,117,255540
FALSE,1,11,2,0,13,0,7,6,6,7,13,0,50,46,11,13,94,16,91,62,44,5971
TRUE,0,59,13,0,72,0,26,46,31,41,72,0,387,243,47,72,605,124,553,296,381,53602
TRUE,0,121,88,2,210,1,120,91,134,77,201,10,1055,1211,192,207,2251,706,1752,1546,911,226714
FALSE,0,2,3,0,5,0,0,5,4,1,5,0,14,14,2,5,25,7,23,0,30,2450
TRUE,0,11,7,0,18,0,0,18,10,8,18,0,37,48,3,5,83,12,76,0,88,11779
FALSE,1,16,1,0,17,0,11,6,10,7,17,0,53,45,8,17,89,26,80,78,27,8570
TRUE,0,5,0,0,5,0,5,0,3,2,5,0,16,1,6,5,18,7,16,23,0,4400
TRUE,0,17,14,0,31,0,11,20,20,11,31,0,96,93,12,30,171,50,151,68,127,20100
TRUE,0,17,2,0,18,1,8,11,7,12,19,0,73,50,40,18,145,32,131,107,56,12061
TRUE,0,75,24,0,99,0,44,55,46,53,98,1,702,448,109,97,1162,228,1031,630,624,103055
FALSE,0,47,31,2,80,0,36,44,46,34,80,0,375,306,115,79,717,179,617,402,392,108114
TRUE,0,88,35,0,123,0,59,64,62,61,113,10,682,458,83,123,1100,256,967,498,602,65651
TRUE,1,41,21,0,62,0,28,34,32,30,60,2,252,292,36,61,519,130,450,289,290,78177
FALSE,0,1,5,0,6,0,1,5,3,3,5,1,17,36,12,6,59,9,56,28,37,2654
TRUE,0,2,3,0,5,0,0,5,3,2,5,0,43,25,2,5,65,15,55,0,69,5316
TRUE,0,8,1,0,9,0,9,0,8,1,9,0,99,129,20,9,239,94,154,248,0,34699
FALSE,0,5,1,0,6,0,0,6,3,3,6,0,28,26,2,6,50,6,50,0,51,3505
TRUE,1,26,9,0,35,0,22,13,23,12,34,1,219,155,53,34,393,112,315,299,128,44582
TRUE,0,16,5,0,21,0,15,6,16,5,21,0,113,97,19,21,208,51,178,143,84,25863
FALSE,0,8,2,0,10,0,1,9,1,9,10,0,34,21,15,1,69,14,56,61,9,12480
TRUE,0,15,0,0,15,0,7,8,6,9,15,0,92,29,11,15,117,22,110,49,82,15115
FALSE,0,3,0,0,3,0,0,3,3,0,3,0,19,5,0,3,21,7,17,0,24,1480
TRUE,0,6,3,0,9,0,0,9,6,3,9,0,26,15,3,6,38,11,33,0,43,4745
FALSE,0,14,15,0,29,0,3,26,12,17,25,4,133,123,6,28,234,45,217,24,238,17165
TRUE,0,50,23,1,74,0,48,26,40,34,72,2,339,376,75,74,716,211,579,509,281,136391
TRUE,0,14,6,0,20,0,4,16,12,8,20,0,149,157,26,20,312,73,259,92,240,75442
TRUE,0,2,1,0,3,0,0,3,1,2,3,0,12,17,0,3,26,4,25,0,29,1930
TRUE,0,19,7,0,25,1,14,12,13,13,26,0,160,100,26,3,283,60,226,88,198,26994
TRUE,0,38,13,0,51,0,24,27,31,20,47,4,295,203,38,50,486,107,429,260,276,92445
FALSE,0,12,5,0,17,0,12,5,9,8,17,0,76,52,6,17,117,34,100,81,47,11375
FALSE,0,0,2,0,2,0,0,2,0,2,2,0,15,19,2,2,34,1,35,0,34,2675
TRUE,0,15,5,0,20,0,14,6,13,7,20,0,93,59,5,19,138,37,120,116,40,11771
TRUE,0,11,2,0,13,0,4,9,4,9,12,1,93,47,4,12,132,11,133,29,106,10235
TRUE,0,5,1,0,6,0,1,5,5,1,6,0,20,12,7,6,33,8,31,2,37,6600
FALSE,0,11,1,0,12,0,6,6,7,5,12,0,168,105,17,12,278,75,215,173,117,21802
TRUE,0,6,1,0,7,0,6,1,3,4,7,0,34,14,4,7,45,19,33,36,15,5535
TRUE,1,5,5,0,10,0,3,7,1,9,10,0,31,38,4,10,63,5,68,34,36,4428
FALSE,0,15,6,0,21,0,10,11,13,8,20,1,67,29,72,14,154,41,127,97,52,34068
TRUE,0,2,0,0,2,0,1,1,1,1,2,0,6,6,0,2,10,3,9,7,5,595
TRUE,0,4,4,0,8,0,0,8,1,7,8,0,9,23,6,8,30,8,30,0,28,4300
FALSE,0,7,1,0,8,0,4,4,7,1,8,0,49,16,51,8,108,36,80,79,35,13845
TRUE,0,5,1,0,6,0,0,6,0,6,6,0,36,33,3,6,66,18,54,0,68,5585
FALSE,0,5,7,0,12,0,9,3,8,4,12,0,25,37,0,11,51,25,37,42,20,4100
TRUE,1,2,0,0,2,0,2,0,1,1,2,0,7,2,1,1,9,1,9,10,0,770
FALSE,0,17,7,1,24,1,18,7,10,15,25,0,112,88,48,22,226,67,181,178,70,41490
